策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.05-0.70_卖Q0.75-0.90_5买3卖_基80000_增20000,广发约定净值转换,429,4.23,7.3,-1.23,2026-06-16,2026-06-30,0.655,3.434,0.58,1.78,1073061.93,57,19,38,42,0,100.0,2.96,0,0,0.0,57,19,38,3.63,3.67,2.35
买Q0.05-0.80_卖Q0.85-0.90_5买2卖_基80000_增10000,广发约定净值转换,429,4.22,7.29,-1.15,2026-06-16,2026-06-30,0.701,3.658,0.636,1.65,1072974.6,50,17,33,38,0,100.0,3.49,0,0,0.0,50,17,33,3.63,3.66,2.35
买Q0.05-0.70_卖Q0.85-0.95_4买3卖_基80000_增10000,广发约定净值转换,429,4.21,7.28,-0.96,2026-06-16,2026-06-30,0.759,4.372,0.695,1.51,1072860.55,48,16,32,35,0,100.0,3.77,0,0,0.0,48,16,32,3.63,3.65,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买3卖_基80000_增10000,广发约定净值转换,429,4.21,7.28,-0.96,2026-06-16,2026-06-30,0.759,4.372,0.695,1.51,1072860.55,48,16,32,35,0,100.0,3.77,0,0,0.0,48,16,32,3.63,3.65,2.35
买Q0.15-0.70_卖Q0.85-0.90_5买3卖_基80000_增10000,广发约定净值转换,429,4.19,7.24,-1.15,2026-06-16,2026-06-30,0.685,3.63,0.607,1.65,1072423.26,51,17,34,38,0,100.0,3.46,0,0,0.0,51,17,34,3.63,3.61,2.35
买Q0.05-0.70_卖Q0.85-0.95_4买2卖_基80000_增10000,广发约定净值转换,429,4.19,7.24,-1.28,2026-06-12,2026-06-30,0.675,3.278,0.612,1.67,1072442.56,47,16,31,34,0,100.0,3.38,0,0,0.0,47,16,31,3.63,3.61,2.35
买Q0.15-0.70_卖Q0.85-0.95_4买2卖_基80000_增10000,广发约定净值转换,429,4.19,7.24,-1.28,2026-06-12,2026-06-30,0.675,3.278,0.612,1.67,1072442.56,47,16,31,34,0,100.0,3.38,0,0,0.0,47,16,31,3.63,3.61,2.35
买Q0.05-0.70_卖Q0.85-0.90_5买3卖_基80000_增10000,广发约定净值转换,429,4.19,7.24,-1.15,2026-06-16,2026-06-30,0.685,3.63,0.607,1.65,1072423.26,51,17,34,38,0,100.0,3.46,0,0,0.0,51,17,34,3.63,3.61,2.35
买Q0.05-0.70_卖Q0.75-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,4.18,7.23,-1.01,2026-06-16,2026-06-30,0.688,4.144,0.63,1.63,1072319.86,54,18,36,39,0,100.0,3.15,0,0,0.0,54,18,36,3.63,3.6,2.35
买Q0.15-0.70_卖Q0.75-0.90_4买2卖_基80000_增20000,广发约定净值转换,429,4.18,7.23,-1.01,2026-06-16,2026-06-30,0.688,4.144,0.63,1.63,1072319.86,54,18,36,39,0,100.0,3.15,0,0,0.0,54,18,36,3.63,3.6,2.35
买Q0.05-0.80_卖Q0.85-0.95_4买3卖_基80000_增10000,广发约定净值转换,429,4.18,7.22,-0.96,2026-06-16,2026-06-30,0.736,4.333,0.682,1.52,1072251.17,48,16,32,35,0,100.0,3.73,0,0,0.0,48,16,32,3.63,3.59,2.35
买Q0.05-0.70_卖Q0.75-0.95_4买2卖_基80000_增20000,广发约定净值转换,429,4.17,7.21,-1.03,2026-06-12,2026-06-30,0.678,4.052,0.643,1.64,1072152.43,54,18,36,40,0,100.0,3.08,0,0,0.0,54,18,36,3.63,3.58,2.35
买Q0.15-0.70_卖Q0.75-0.95_4买2卖_基80000_增20000,广发约定净值转换,429,4.17,7.21,-1.03,2026-06-12,2026-06-30,0.678,4.052,0.643,1.64,1072152.43,54,18,36,40,0,100.0,3.08,0,0,0.0,54,18,36,3.63,3.58,2.35
买Q0.15-0.80_卖Q0.85-0.95_5买3卖_基80000_增10000,广发约定净值转换,429,4.17,7.2,-1.34,2026-06-16,2026-06-30,0.636,3.12,0.572,1.75,1072099.34,50,17,33,38,0,100.0,3.43,0,0,0.0,50,17,33,3.63,3.57,2.35
买Q0.05-0.80_卖Q0.85-0.90_5买3卖_基80000_增10000,广发约定净值转换,429,4.15,7.18,-1.15,2026-06-16,2026-06-30,0.664,3.598,0.594,1.65,1071813.88,51,17,34,38,0,100.0,3.42,0,0,0.0,51,17,34,3.63,3.55,2.35
买Q0.05-0.80_卖Q0.85-0.95_4买2卖_基80000_增10000,广发约定净值转换,429,4.16,7.18,-1.28,2026-06-12,2026-06-30,0.655,3.249,0.6,1.67,1071833.17,47,16,31,34,0,100.0,3.34,0,0,0.0,47,16,31,3.63,3.55,2.35
