date,cash,position_value,total_value,positions,return,equity,drawdown
2023-11-28,7533.2369348402135,738098.3999999999,745631.6369348401,"{'513100': {'shares': 639600.0, 'price': 1.154, 'value': 738098.3999999999, 'profit_pct': -0.4449781651853997}}",0.002580028076304419,0.7456316369348401,-47.011234008903536
2023-11-29,7533.2369348402135,738098.3999999999,745631.6369348401,"{'513100': {'shares': 639600.0, 'price': 1.154, 'value': 738098.3999999999, 'profit_pct': -0.4449781651853997}}",0.0,0.7456316369348401,-47.011234008903536
2023-11-30,7533.2369348402135,737458.8,744992.0369348403,"{'513100': {'shares': 639600.0, 'price': 1.153, 'value': 737458.8, 'profit_pct': -0.5312476815067201}}",-0.0008577962204355805,0.7449920369348403,-47.05668757209624
2023-12-01,7533.2369348402135,734260.7999999999,741794.0369348401,"{'513100': {'shares': 639600.0, 'price': 1.148, 'value': 734260.7999999999, 'profit_pct': -0.9625952631133792}}",-0.004292663332560953,0.7417940369348401,-47.283955388059816
2023-12-04,7533.2369348402135,735540.0,743073.2369348402,"{'513100': {'shares': 639600.0, 'price': 1.15, 'value': 735540.0, 'profit_pct': -0.7900562304707194}}",0.0017244678931174207,0.7430732369348402,-47.193048261674384
2023-12-05,7533.2369348402135,727225.2,734758.4369348402,"{'513100': {'shares': 639600.0, 'price': 1.137, 'value': 727225.2, 'profit_pct': -1.9115599426479983}}",-0.011189744949365199,0.7347584369348402,-47.78394458317968
2023-12-06,7533.2369348402135,737458.8,744992.0369348403,"{'513100': {'shares': 639600.0, 'price': 1.153, 'value': 737458.8, 'profit_pct': -0.5312476815067201}}",0.013927842792375689,0.7449920369348403,-47.05668757209624
2023-12-07,7533.2369348402135,729143.9999999999,736677.2369348401,"{'513100': {'shares': 639600.0, 'price': 1.14, 'value': 729143.9999999999, 'profit_pct': -1.6527513936840181}}",-0.011160924664658456,0.7366772369348401,-47.64758389360154
2023-12-08,7533.2369348402135,740017.2000000001,747550.4369348403,"{'513100': {'shares': 639600.0, 'price': 1.157, 'value': 740017.2000000001, 'profit_pct': -0.18616961622140044}}",0.014759788215041425,0.7475504369348402,-46.874873319325374
2023-12-11,7533.2369348402135,744494.3999999999,752027.6369348401,"{'513100': {'shares': 639600.0, 'price': 1.164, 'value': 744494.3999999999, 'profit_pct': 0.41771699802789924}}",0.005989161103774565,0.7520276369348401,-46.55669837697638
2023-12-12,7533.2369348402135,753448.7999999999,760982.0369348401,"{'513100': {'shares': 639600.0, 'price': 1.178, 'value': 753448.7999999999, 'profit_pct': 1.6254902265265176}}",0.0119070092111202,0.7609820369348401,-45.92034849227837
2023-12-13,7533.2369348402135,761763.6000000001,769296.8369348403,"{'513100': {'shares': 639600.0, 'price': 1.191, 'value': 761763.6000000001, 'profit_pct': 2.7469939387038163}}",0.010926407715865949,0.7692968369348403,-45.32945217077307
2023-12-14,7533.2369348402135,770078.4,777611.6369348402,"{'513100': {'shares': 639600.0, 'price': 1.204, 'value': 770078.4, 'profit_pct': 3.868497650881095}}",0.010808311695559736,0.7776116369348403,-44.73855584926777
2023-12-15,7533.2369348402135,763042.8,770576.0369348403,"{'513100': {'shares': 639600.0, 'price': 1.193, 'value': 763042.8, 'profit_pct': 2.919532971346476}}",-0.0090477041055258,0.7705760369348402,-45.238545044387635
2023-12-18,7533.2369348402135,768799.2,776332.4369348402,"{'513100': {'shares': 639600.0, 'price': 1.202, 'value': 768799.2, 'profit_pct': 3.695958618238435}}",0.007470255658218239,0.7763324369348402,-44.829462975653215
2023-12-19,7533.2369348402135,773276.4,780809.6369348402,"{'513100': {'shares': 639600.0, 'price': 1.209, 'value': 773276.4, 'profit_pct': 4.299845232487754}}",0.005767117006829192,0.7808096369348403,-44.5112880333042
2023-12-20,7533.2369348402135,777753.6,785286.8369348402,"{'513100': {'shares': 639600.0, 'price': 1.216, 'value': 777753.6, 'profit_pct': 4.903731846737053}}",0.005734048080625387,0.7852868369348401,-44.193113090955194
